"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","post_format","comment_status","ping_status","noindex","nofollow","custom_link","disable_analytics","noodp","noydir","aioseo_title","aioseo_description","og_title","og_description","og_image_type","og_image_custom_fields","og_video","og_object_type","disable","og_article_section","og_article_tags","twitter_use_og","twitter_card","twitter_image_type","twitter_image_custom_fields","twitter_title","twitter_description","robots_default","robots_noarchive","robots_nosnippet","robots_noimageindex","robots_notranslate","robots_max_snippet","robots_max_videopreview","robots_max_imagepreview","keyphrases","post_category","post_tag","add_sponsor","editors_choice","editors_note","enclosure","featured-post","footnotes","image_template","images_lists","images_lists_0_images_list","images_lists_1_images_list","images_lists_2_images_list","images_lists_3_images_list","images_lists_4_images_list","images_post","images_post_0_images_image","images_post_1_images_image","images_post_2_images_image","keep_trending","king_dislike_count","king_flags","king_like_count","king_reaction_angry","king_reaction_haha","king_reaction_like","king_reaction_love","king_reaction_sad","king_reaction_wow","king_vote_dislikes","king_vote_likes","list_post","media_lists","media_lists_0_media_thumb","media_lists_0_media_title","media_lists_0_media_url","media_lists_0_media_url_or_upload","news_list_items","nsfw_post","post_sponsor_description","post_sponsor_link","post_sponsor_logo","post_template","share_counter","video_tab","video_template","video-url"
"Hello world!","1","<!-- wp:paragraph -->
<p>Welcome to WordPress. This is your first post. Edit or delete it, then start writing!</p>
<!-- /wp:paragraph -->",,"2023-06-24 22:49:50","hello-world","trioadmin","publish",,"standard","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Hero 6 - Official Teaser Trailer","20","A group of six superheroes are recruited by the government to protect the nation.

&nbsp;

<strong>Release Date:</strong> 7 November 2014
<strong>Genre:</strong> Animation | Action | Comedy
<strong>Cast:</strong> Josh Hutcherson, Samuel L. Jackson, Freddie Highmore
<strong>Directors:</strong> Don Hall, Chris Williams
<strong>Writer:</strong> Don Hall, Jordan Roberts
<strong>Studio:</strong> Walt Disney Pictures",,"2017-01-17 15:33:55","big-hero-6-official-teaser-trailer","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/Big-Hero-6-Baymax-by-jsclemente-on-DeviantArt-1.png","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Technology,Video",,"field_5a568a7c056ca","field_5c9bda3ad6b0b",,,"field_587be13bfc2f0",,,,,,,,,,,,,"field_587be15ffc2f1",,,,,,,,,"1",,,,,,,,,,"field_587be16ffc2f2",,,,,"0","field_58f533f201eee","video-template-3","https://www.youtube.com/watch?v=OvgyXKDXdZY"
"Soundcloud - King Of Everything","37","Produced by Cozmo &amp; ID Labs

<strong>Released by:</strong>
Rostrum/Atlantic
<strong>Release date:</strong>
16 October 2015
<strong>P-line:</strong>
℗ 2015 2015 Atlantic Recording Corporation
<strong>C-line:</strong>
<em>© 2015 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company</em>
<em>Explicit</em>",,"2017-01-17 16:17:21","soundcloud-king-of-everything","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/image-1.png","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Ai Art,Music",,,,,,"field_587be13bfc2f0",,,,,,,,,,,,,"field_587be15ffc2f1",,,,,,,,,,,,,,,,,,,"field_587be16ffc2f2",,,,,"0",,,"https://soundcloud.com/wizkhalifa/king-of-everything"
"Multiple images gallery","44","Multiple images demo post",,"2017-01-17 16:40:16","multiple-images-gallery","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/1-2.jpg","Image","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Uncategorized",,"field_5a568a7c056ca","field_5c9bda3ad6b0b",,,"field_587be13bfc2f0",,"image-template-1","3","134","136","137",,,"3","41","42","43","field_587be15ffc2f1",,,,"1","1",,,,,,,,,,,,,,"field_587be16ffc2f2",,,,,"0",,,
"vimeo - I am a…","48","You sit down to have your portrait painted, but who are you? What is the image you want to project? How will the artist manipulate it? Are you a rabbit? You might be a vampire! You're probably a duck... Created for the 'Pictoplasma Portrait Exhibition' in Berlin, May 2014.",,"2017-01-18 11:58:15","vimeo-i-am-a","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/473990304_1280x720-1.jpg","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Video",,"field_5a568a7c056ca","field_5c9bda3ad6b0b",,,"1",,,,,,,,,,,,,"field_587be15ffc2f1",,,,,"1",,,,"1",,,,"field_5ee7d2907603a",,,,,,"field_587be16ffc2f2",,,,,"0","field_58f533f201eee","field_5b5b932a71d23","https://vimeo.com/94017018"
"soundcloud - Novo Amor - From Gold","50","<p>My new song I found the original by Novo Amor and I was ""WOW .. I absolutely need to remix this song"" and now La Belle Musique follow me in the adventure with this video</p>",,"2017-01-18 12:01:09","soundcloud-novo-amor-from-gold","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/artworks-000093120638-z2z2xp-crop-1.jpg","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Music",,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,"1",,,,,,,,,,,,,,,"0",,,"https://soundcloud.com/henri-pfr/novo-amor-from-gold-henri-pfr-remix"
"Vimeo - Johnny Express","68","There are all sorts of Aliens living throughout space.
Johnny is a Space Delivery Man who travels to different planets to deliver packages.
Johnny is lazy and his only desire is to sleep in his autopilot spaceship.
when the spaceship arrives at the destination, all he has to do is simply deliver the box.
However, it never goes as planned. Johnny encounters strange and bizarre planets
and always seems to cause trouble on his delivery route.",,"2017-01-21 13:26:31","vimeo-johnny-express","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/539306657_1280x720-1.jpg","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Video",,"field_5a568a7c056ca","field_5c9bda3ad6b0b",,,"field_587be13bfc2f0",,,,,,,,,,,,,"field_587be15ffc2f1",,,,,"2",,"5",,"1",,,,,,,,,,"field_587be16ffc2f2",,,,,"0","field_58f533f201eee","video-template-2","https://vimeo.com/94502406"
"One More Beer!","70","<p>One More Beer! - A Pedro Conti Short Movie.</p>
<p> </p>
<blockquote>
<p>One More Beer is an independent short movie developed by Brazilian 3D artist Pedro Conti. The work was done in partnership with Alan Camilo (co-direction, storyline, animation and rigging), Alex Angelis (rigging), Lucas Leibholz (illustration), Pedro Pastoriz and Jack Rubens, members of the band ""Os mustaches e os Apaches ""(soundtrack), Antonio Moreno (Voice) and with renowned studio Beep Audio Post (sound design and mixing).</p>
<p> </p>
</blockquote>

<!-- wp:image {""id"":1241,""sizeSlug"":""large"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-large""><img src=""https://dev.trionxai.com/wp-content/uploads/2023/08/a-single-dragon-1024x1024.png"" alt="""" class=""wp-image-1241""/></figure>
<!-- /wp:image -->",,"2017-05-21 13:29:26","one-more-beer","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/348090111_1280x693-1.jpg","Video","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0","-1","-1","large",,"Uncategorized",,"field_5a568a7c056ca","1","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,"1",,,,,,,,,,,,,"1",,,"2","1","2","8","3","4","3",,"25|2",,"field_5ee7d2907603a",,,,,,"field_587be16ffc2f2",,,,,"0","field_58f533f201eee","field_5b5b932a71d23","https://vimeo.com/50522981"
"Single image post","74","<p>Perception High Resolution Desktop Wallpaper</p>
<p><strong>Author:</strong> <em>David_Meilleur</em></p>",,"2017-01-21 13:37:01","single-image-post","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/perception_2-wallpaper-1280x800-1.jpg","Image","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Ai Art,Games",,,,,,,,,,,,,,,"field_57e96cc7b74a5",,,,,,,"1","1","1","2","4","1","1",,"25",,,,,,,,,,,,,"0",,,
"Simple news post","75","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.

&nbsp;
<blockquote><em>Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</em></blockquote>",,"2017-05-19 13:45:48","simple-news-post","trioadmin","publish","https://wordpress.kingthemes.net/main/wp-content/uploads/2017/01/what-is-sales-activity-management-1.jpg","Quote","open","open",,,,,"0",,,,,,"default",,,"default",,,,"0","default","default",,,,"1","0","0","0","0",,,"large",,"Technology",,"1","1","Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,"field_587be13bfc2f0",,,,,,,,,,,,,"field_587be15ffc2f1",,,,"3","4","7","5",,"3",,,"field_57d3199b4ee91",,,,,,"field_58bddb0df74fe","field_587be16ffc2f2","Sponsored post sample","https://themeforest.net/item/king-wordpress-theme/19436704","602","field_5b5b94f0474bd","0",,,
